OldCantus,New Syllabification,X Responsible,Notes
flo-ren-tes,florentes,,
o-do-rem,odorem,,
de-de-runt,dederunt,,
tur-tu-ris,turturis,,
au-di-ta,audita,,
ter-ra,terra,,
nos-tra,nostra,,
sur-ge,surge,,
pro-pe-ra,propera,,
a-mi-ca,amica,,
ve-ni,veni,,
ly-ba-no,lybano,,
co-ro-na-be-ris,coronaberis,,
ey-a,e-ya,,
iherusalem,ihe-ru-sa-lem,,
meruerunt,me-ru-e-runt,,
ves-ti-gia,ves-ti-gi-a,,
a-bel,ab-el,,
hi-i,hii,,
pe-ri-mus,per-i-mus,,
tran-smis-sum,trans-mis-sum,,
meam,me-am,,
deprecor,de-pre-cor,,
lan-gu-en-ti-um,lan-guen-ti-um,,
per-hi-be-bit,pe-rhi-be-bit,,
dam-pna-tor,damp-na-tor,,
san-gu-is,san-guis,,
co-niu-gi-o,con-iu-gi-o,,
E-ran-tque,E-rant-que,,
Heu-vam,He-u-vam,,
tran-sla-ti-o-nis,trans-la-ti-o-nis,,
tran-sfer,trans-fer,,
Co-niu-gi-um,Con-iu-gi-um,,
con-tem-psit,con-temp-sit,,
ab-scon-di-ta,abs-con-di-ta,,
be-nia-min,be-ni-a-min,,
hym-pnis,hymp-nis,,
sol-lem-pnis,sol-lemp-nis,,
sum-ptus,sump-tus,,
i-ne-qua-li,in-e-qua-li,,
sum-pti-o-nis,sump-ti-o-nis,,
converte,con-ver-te,,
se-pul-chrum,se-pulch-rum,,
coo-per-tus,co-o-per-tus,,
Zo-e,Zoe,,
re-li-gi-,re-li-gi,,
co-lum-pna,co-lump-na,,
tuum,tu-um,,
con-tem-psis-ti,con-temp-sis-ti,,
pe-ri-e-rant,per-ie-rant,,
numquam,num-quam,,
i-ni-qui-ta-te,in-i-qui-ta-te,,
veneris,ve-ne-ris,,
i-e-rit,ie-rit,,
i-nius-ti-ci-as,in-ius-ti-ci-as,,
tran-sffer-ri,transf-fer-ri,,
som-pno,somp-no,,
e-van-ge-li-j,e-van-ge-lij,,
in-di-ci-js,in-di-cijs,,
se-cuun-tur,se-cu-un-tur,,
ca-phar-na-um,ca-phar-naum,,
is-ma-e-li-tis,is-mae-li-tis,,
em-pti,emp-ti,,
fi-li-js,fi-lijs,,
spe-ci-os-a,spe-ci-o-sa,,
ven-ies,ve-ni-es,,
quo-ti-en-scum-que,quo-ti-ens-cum-que,,
ni-co-la-um,ni-co-laum,,
Me-ruit,Me-ru-it,,
tua,tu-a,,
vic-to-,vic-to,,
fe-cer-unt,fe-ce-runt,,
per-hi-be,pe-rhi-be,,
sui,su-i,,
pul-chri-tu-do,pulch-ri-tu-do,,
hi-e-ri-cho,hie-ri-cho,,
i-he-cuc,ihe-cuc,,
Heu,He-u,,
pe-re-gri-na-ri,per-e-gri-na-ri,,
pe-re-gri-nus,per-e-gri-nus,,
hi-is,hiis,,
ma-nuum,ma-nu-um,,
salutis,sa-lu-tis,,
i-ni-mi-cum,in-i-mi-cum,,
su-bis-ti,sub-is-ti,,
sua-vi,su-a-vi,,
san-gu-i-ne,san-gui-ne,,
su-bie-cis-ti,sub-ie-cis-ti,,
ha-bra-e,ha-brae,,
Ky-rie,Ky-ri-e,,
e-ley-son,e-le-y-son,,
eley-son,e-le-y-son,,
mar-ty-ri-j,mar-ty-rij,,
Kypis-te,Ky-pis-te,,
e-leyson,e-le-y-son,,
in-tro-i-ens,in-tro-iens,,
decet,de-cet,,
san-gu-i-nem,san-gui-nem,,
a-ba-cuc,ab-a-cuc,,
ra-pha-el,ra-phael,,
mi-sa-el,mi-sael,,
omnia,om-ni-a,,
opera,o-pe-ra,,
su-bar-ra-vit,sub-ar-ra-vit,,
de-li-ci-js,de-li-cijs,,
ab-scon-dit,abs-con-dit,,
re-dem-pto-rem,re-demp-to-rem,,
a-tri-js,a-trijs,,
a-bi-ci-te,ab-i-ci-te,,
mar-ti-ri-j,mar-ti-rij,,
his-ra-el,his-rael,,
prout,pro-ut,,
as-scri-ben-dum,ass-cri-ben-dum,,
dam-pna-tur,damp-na-tur,,
a-bun-da-vit,ab-un-da-vit,,
i-ni-qui-tas,in-i-qui-tas,,
su-per-ha-bun-da-vit,su-pe-rha-bun-da-vit,,
tran-sfor-ma-re,trans-for-ma-re,,
confiteri,con-fi-te-ri,,
a-bi-it,ab-iit,,
Ve-rum-pta-men,Ve-rump-ta-men,,
dam-pna-ti-o-nem,damp-na-ti-o-nem,,
Ad-le-ta,A-dle-ta,,
i-ni-ti-is,in-i-ti-is,,
tem-pta-ti-o-nem,temp-ta-ti-o-nem,,
la-chry-mis,lach-ry-mis,,
dam-pnen-tur,damp-nen-tur,,
man-sue-tu-di-nem,man-su-e-tu-di-nem,,
ba-rio-na,ba-ri-o-na,,
mi-ra-bi-lium,mi-ra-bi-li-um,,
a-pa-ruit,a-pa-ru-it,,
ceciderunt,ce-ci-de-runt,,
do-mi-nu-m,do-mi-num,,
fru-gu-m,fru-gum,,
Quia,Qui-a,,
con-ci-li-js,con-ci-lijs,,
eu-pre-pi-us,e-u-pre-pi-us,,
Ky-ri-e-lei-son,Ky-ri-e-le-i-son,,
sermonibus,ser-mo-ni-bus,,
ni-co-la-us,ni-co-laus,,
gaudeat,gau-de-at,,
la-bi-js,la-bijs,,
aliquando,a-li-quan-do,,
hierusalem,hie-ru-sa-lem,,
co-e-qua-ta,coe-qua-ta,,
celi,ce-li,,
moy-sen,mo-y-sen,,
a-bes-se,ab-es-se,,
quaem,qua-em,,
tran-sfert,trans-fert,,
so-lem-pni-ta-te,so-lemp-ni-ta-te,,
is-ra-e-li-ta,is-rae-li-ta,,
e-thra,eth-ra,,
o-bi-tu,ob-i-tu,,
Pe-ri-jt,Per-ijt,,
a-bys-si,ab-ys-si,,
o-di-j,o-dij,,
i-hesuc,ihe-suc,,
a-bi-e-runt,ab-ie-runt,,
be-thle-em,beth-le-em,,
mer-cen-na-ri-j,mer-cen-na-rij,,
a-bun-dant,ab-un-dant,,
pe-re-o,per-e-o,,
tran-si-jt,tran-sijt,,
pe-re-gri-na-ti-o-ne,per-e-gri-na-ti-o-ne,,
i-nun-dan-do,in-un-dan-do,,
Eu,E-u,,
tran-sver-be-rat,trans-ver-be-rat,,
dam-pna-ti-ci-is,damp-na-ti-ci-is,,
pedibus,pe-di-bus,,
me-tue-re,me-tu-e-re,,
con-tem-pse-runt,con-temp-se-runt,,
convenit,con-ve-nit,,
ore,o-re,,
la-chri-mis,lach-ri-mis,,
se-cu-lo-,se-cu-lo,,
mar-ti-rii,mar-ti-ri-i,,
an-ti-qu-is,an-ti-quis,,
fa-ci-e-cie-bat,fa-ci-e-ci-e-bat,,
o-be-di-ens,ob-e-di-ens,,
nun-ti-a-et,nun-ti-aet,,
re-dem-pci-o-nem,re-demp-ci-o-nem,,
a-bi-jt,ab-ijt,,
gla-di-j,gla-dij,,
mer-cen-na-ri-js,mer-cen-na-rijs,,
i-nius-ti-ci-a,in-ius-ti-ci-a,,
gla-di-js,gla-dijs,,
co-niun-gi-tur,con-iun-gi-tur,,
tran-sfor-me-mur,trans-for-me-mur,,
ambulat,am-bu-lat,,
